,K_GRM,r_GRM,p_GRM,a_GRM,K_logi,C0_logi,r_logi,peak_GRM,peak_logi,rs_grm,rs_logi,exp_m,exp_ci_h,exp_ci_l,pvalue,rsquare,enddate,peakdate,startdate,density,population,endcount,travel_hubei,travel_wuhan,days_start_peak
Guangdong,1321.5276860763936,0.9967170577440286,0.8404248986042306,0.7428051837193416,1344.2973594937325,24.315828502311465,0.28627944764388613,2020-02-02,2020-02-02,0.9074884786134567,0.9108460097054746,-0.15863421288283194,-0.13860466605046742,-0.17866375971519646,2.4161687078064915e-54,0.9269383526748024,2020-02-19 00:00:00,2020-02-01 00:00:00,2020-01-19,481.0,111690000.0,1352.0,183.16,54.88,14.0
Henan,1265.7991620097437,2.4156416507193215,0.6056381379088905,1.8779726191627508,1302.0148550456836,37.55979480726686,0.275162022996197,2020-02-03,2020-02-03,0.7437353515263108,0.7500233308642521,-0.18582305661701792,-0.16137040112417794,-0.2102757121098579,3.571705179841866e-50,0.9284904861941935,2020-02-19 00:00:00,2020-02-01 00:00:00,2020-01-21,553.0,95591300.0,1272.0,361.6,122.92,13.0
Zhejiang,1189.9621304751588,1.2975874245477346,0.9999999999967045,0.18780093364729875,1220.135514565575,36.955302153846525,0.3129984072315709,2020-01-31,2020-01-31,0.8234896833725069,0.8077497811510024,-0.22253643183175423,-0.20139287031533082,-0.24367999334817764,1.5060589354449225e-94,0.9504138559680215,2020-02-15 00:00:00,2020-01-30 00:00:00,2020-01-20,460.0,56570000.0,1215.0,89.83,30.8,11.0
Hunan,1042.7021241468713,2.9448631797798543,0.5597147706777439,1.6795000148909236,1084.1120246744656,50.86716907843088,0.2540890910782343,2020-02-02,2020-02-02,0.9178744729243007,0.9142918125651114,-0.1662388548294647,-0.15428235912111607,-0.17819535053781335,1.610890145529931e-163,0.9741733521497974,2020-02-17 00:00:00,2020-02-02 00:00:00,2020-01-21,304.0,68602000.0,1018.0,324.66,81.61,12.0
Anhui,987.1182391276594,3.779320996242824,0.47292335273473396,3.48259300264295,1045.1544136585887,24.03567190182245,0.25467492385960044,2020-02-05,2020-02-04,0.9177412394699536,0.9206755988818898,-0.16739506896080042,-0.14867901807189662,-0.18611111984970422,8.441361868993563e-69,0.9037769923297971,2020-02-19 00:00:00,2020-02-04 00:00:00,2020-01-20,429.0,62548000.0,990.0,135.88,53.04,15.5
Jiangxi,965.8226336980904,0.9945441530844711,0.8233694734674455,0.7526771194695251,980.1444123436651,19.831999113777115,0.27402955403349205,2020-02-03,2020-02-03,0.889741510747531,0.8840848125241869,-0.17297790638826477,-0.15635094491341558,-0.18960486786311395,2.019055711795508e-92,0.9477148414968227,2020-02-18 00:00:00,2020-02-04 00:00:00,2020-01-20,247.0,46221000.0,935.0,167.04,49.46,14.0
Shandong,553.1314534572948,3.6866125638371834,0.3906870842036191,4.827789713548183,604.0018334192539,27.193635162256975,0.21838596652932782,2020-02-05,2020-02-03,0.6979716374422205,0.6756903737136115,-0.16318451168191583,-0.13783940348604548,-0.1885296198777862,1.6494317855943874e-36,0.9036604514635627,2020-02-18 00:00:00,2020-02-06 00:00:00,2020-01-20,579.0,100058300.0,758.0,65.54,27.71,15.0
Jiangsu,654.8900047343503,3.400027716578985,0.4462887490653806,2.4548450426087514,696.698651142473,43.86050681619303,0.21652199230774133,2020-02-04,2020-02-03,0.9355625043336219,0.9299034377896958,-0.14854777616030207,-0.1391097331408015,-0.15798581917980264,5.787686921875796e-209,0.9742430219164471,2020-02-19 00:00:00,2020-02-01 00:00:00,2020-01-22,742.0,80293000.0,631.0,103.4,40.06,12.5
Chongqing,584.1512586183474,3.899030040492103,0.4053749133651504,2.1814102156391146,633.4717442019778,61.724524854918656,0.19736525770968114,2020-02-01,2020-02-01,0.8056222710638362,0.8047644541638905,-0.14165657340184473,-0.12065939701271385,-0.16265374979097563,6.458373338672551e-40,0.9003417276921465,2020-02-18 00:00:00,2020-02-01 00:00:00,2020-01-21,374.0,30484300.0,576.0,167.63,28.62,11.0
Sichuan,564.4148540938977,11.727301566014566,0.8724718419882995,0.022917288561649207,597.290852316168,51.79404364779159,0.18045635181748954,2020-01-31,2020-02-02,0.8703759725204774,0.8269657037420999,-0.14469580127222748,-0.13003463254736025,-0.1593569699970947,2.2957274815227255e-83,0.9492624513574388,2020-02-22 00:00:00,2020-01-31 00:00:00,2020-01-20,172.0,83020000.0,539.0,93.77,29.77,12.0
Heilongjiang,481.4826194564078,0.6348642638099273,0.9999999992935407,0.3367244431213539,494.21018159443025,7.8663188423150885,0.2594435336007434,2020-02-06,2020-02-06,0.7392492849214238,0.7372100815665796,-0.11794367768162158,-0.09117516655526456,-0.1447121888079786,5.827745430513817e-18,0.6755929035840696,2020-02-21 00:00:00,2020-02-04 00:00:00,2020-01-21,81.0,37887000.0,481.0,12.94,6.78,16.0
Beijing,401.47187643891084,0.9813128061117562,0.6839617243818458,1.4949064692305567,412.83926818301404,19.416627460278026,0.23446657737505153,2020-02-02,2020-02-02,0.7779672821208697,0.783826659126485,-0.1556885724093245,-0.12201031207522268,-0.1893668327434263,1.295811641450761e-19,0.8407004732330842,2020-02-20 00:00:00,2020-01-31 00:00:00,2020-01-20,1322.74,21707000.0,426.0,62.15,29.45,13.0
Shanghai,330.44947142583084,1.48871165589031,0.5923033324594804,1.8785163797595554,344.5449415294833,13.992806489543415,0.26415853912515075,2020-02-01,2020-02-01,0.8669393174731532,0.8814399291903835,-0.1599746144057711,-0.13808063726424882,-0.18186859154729337,1.6107842743285997e-46,0.8792175104322348,2020-02-18 00:00:00,2020-01-31 00:00:00,2020-01-20,3814.0,24183300.0,342.0,49.92,21.64,12.0
Hebei,309.5462632100816,3.162909843204499,0.3115282015883851,11.823808335862514,350.4927644781327,22.203618918815074,0.19098646441466335,2020-02-10,2020-02-05,0.7201039136933138,0.6541228722916331,-0.1303762925036542,-0.09946763101638403,-0.16128495399092438,1.3679076784242446e-16,0.7993032269279537,2020-02-20 00:00:00,2020-02-07 00:00:00,2020-01-22,355.0,75195200.0,318.0,52.79,22.69,16.5
Fujian,302.06174989906907,39.50648637915331,0.9124331352691105,0.007371696798676897,314.6051591074562,27.93526196666782,0.25989849012200456,2020-01-30,2020-01-31,0.9102675850757694,0.8583419017691685,-0.19991656395455204,-0.17973810590546954,-0.22009502200363454,5.378366089109566e-84,0.951682416408643,2020-02-17 00:00:00,2020-01-29 00:00:00,2020-01-22,285.0,39110000.0,296.0,57.46,21.05,8.5
Guangxi,250.80832418784982,4.637890573858088,0.2249212397410829,3.9194857493338784,292.2852901547032,28.1111037660042,0.1825094511114399,2020-02-02,2020-02-01,0.6841075229594239,0.6852923519076111,-0.14367443712713784,-0.1018380526427721,-0.1855108216115036,1.6846794793138598e-11,0.7620435982889262,2020-02-19 00:00:00,2020-01-31 00:00:00,2020-01-20,190.0,48850000.0,252.0,48.66,20.04,12.5
Shaanxi,248.58054816784428,1.112118680516065,0.6789261778701055,1.0228851775005725,258.4484328128146,20.396413597278503,0.23799263471980378,2020-02-01,2020-02-01,0.6995739345206007,0.6995340744587334,-0.1705852493085964,-0.1404002850241676,-0.2007702135930252,1.6292438875203423e-28,0.8742314022956263,2020-02-18 00:00:00,2020-02-01 00:00:00,2020-01-22,185.0,38354400.0,245.0,82.0,18.1,10.0
Yunnan,169.41074382926814,11.861774785837238,0.9999982606589367,0.017890743578043253,160.57996398294674,6.219621956095243,0.3312074548014385,2020-01-29,2020-01-30,0.6368297457428478,0.5718727691794447,-0.19542031423435557,-0.14608738295848467,-0.24475324551022648,8.225325191663787e-15,0.7548685233028372,2020-02-19 00:00:00,2020-01-29 00:00:00,2020-01-20,109.0,48005000.0,174.0,34.49,14.43,9.5
Hainan,168.42627116722653,2.4939714912358495,0.2712571356546263,8.065300023625158,189.27938026238272,11.928620569879216,0.18837340511417924,2020-02-07,2020-02-03,0.6518228957970156,0.6007462200790703,-0.08353743902764253,-0.03830186522735182,-0.12877301282793324,0.0002950916004029496,0.49214257491168045,2020-02-17 00:00:00,2020-02-05 00:00:00,2020-01-20,224.0,9257600.0,168.0,20.85,10.21,16.0
Guizhou,150.26410847528464,0.6648320208102366,0.6120496915533369,8.39381841649547,156.1442973205601,1.6655410283790735,0.26674432507836815,2020-02-10,2020-02-06,0.7495377555128949,0.7205651470324284,-0.15024081257379535,-0.11198181104113014,-0.18849981410646055,1.3951287880694362e-14,0.784890817256664,2020-02-18 00:00:00,2020-02-09 00:00:00,2020-01-20,200.0,35800000.0,146.0,53.43,17.81,19.0
Tianjin,138.4187860029053,0.8563918181750614,0.5260028852780629,2.6181637457520597,145.9602204661145,8.401556537737035,0.18594754581887968,2020-02-06,2020-02-05,0.4520804496211597,0.45372412308277665,-0.11073046512740675,-0.057034302335272305,-0.1644266279195412,5.3031675270299056e-05,0.4473775721446148,2020-02-24 00:00:00,2020-02-04 00:00:00,2020-01-21,1306.0,15568700.0,136.0,10.68,4.72,15.5
Shanxi,129.5085484877806,1.7213551208420486,0.3792064363553582,7.4435863829173385,141.81207975692226,5.77115524631219,0.25503963154341786,2020-02-05,2020-02-02,0.8491876519550237,0.832208984247893,-0.19317291059799074,-0.16976946168034204,-0.21657635951563944,7.220335220574736e-59,0.9169784230321075,2020-02-15 00:00:00,2020-02-03 00:00:00,2020-01-21,212.0,37023500.0,133.0,31.35,14.34,13.5
Liaoning,123.79136981546806,2.0193100480043826,0.34539629022538165,2.9218601035284073,137.28627769066654,15.301704312664254,0.21807646903479713,2020-02-01,2020-02-01,0.6201433699982478,0.6199654384158522,-0.1322741923157382,-0.09146320448525286,-0.17308518014622354,2.1165391179361525e-10,0.7405159745983461,2020-02-16 00:00:00,2020-01-29 00:00:00,2020-01-22,291.0,43689000.0,125.0,16.93,8.62,10.0
Gansu,86.96709231305464,2.1849344822020247,0.2235395286950077,25.806235721437293,103.0279735698835,10.310118249823702,0.22553084200974824,2020-02-08,2020-02-02,0.6602707882937213,0.6308617896332711,-0.15768563950035347,-0.11672729523455727,-0.19864398376614967,4.494875114501056e-14,0.7737499646843086,2020-02-15 00:00:00,2020-02-01 00:00:00,2020-01-23,57.0,26257100.0,119.0,24.16,9.19,13.0
Jilin,86.55003245978136,0.32407860292586954,0.99999999998303,1.4121897538092079,82.50104675296797,0.11644635653833832,0.4418734068057205,2020-02-04,2020-02-04,0.7282581249552273,0.7455405066899354,-0.18719940965272042,-0.13877678685818118,-0.23562203244725966,3.52926809071309e-14,0.7803313750035873,2020-02-18 00:00:00,2020-02-03 00:00:00,2020-01-20,151.0,27174300.0,93.0,8.6,4.21,15.0
Xinjiang,77.53979207519642,0.9213840303244818,0.37551558761160964,11.419889361464953,82.71276178031762,4.340390706787242,0.19859877956739816,2020-02-12,2020-02-07,0.6867286036325463,0.601168326899954,-0.08664230730780531,-0.06292101630481448,-0.11036359831079615,8.131267572544772e-13,0.5972233983742674,2020-02-21 00:00:00,2020-02-10 00:00:00,2020-01-23,13.1,24446700.0,76.0,11.45,6.3,17.5
Neimenggu,77.35514028216645,1.5647689166601548,0.27630833464303334,2.94413936357357,88.03447158399999,11.671384704216347,0.17696222581665288,2020-02-03,2020-02-03,0.5091187991343644,0.5116227555582109,-0.1351986178324397,-0.09174538203297378,-0.1786518536319056,1.072267497042945e-09,0.6786895285013754,2020-02-21 00:00:00,2020-02-03 00:00:00,2020-01-23,20.0,25286000.0,75.0,9.47,4.75,11.0
Ningxia,70.61115926861085,1.2709343533520985,0.2673067671798197,88.27827067619754,84.09662292768952,6.203317941858954,0.1700903844930713,2020-02-13,2020-02-04,0.5567049991991013,0.41285708130268395,-0.1016749844959878,-0.04876748472951207,-0.15458248426246354,0.0001654660204223492,0.5064677981690453,2020-02-19 00:00:00,2020-02-11 00:00:00,2020-01-20,85.0,6817900.0,75.0,5.04,2.47,19.5
Qinghai,18.293592174730513,1.197543027397392,0.13197702566122008,99.99999984754861,23.923060946463377,3.968462662882318,0.265343789992051,2020-02-04,2020-01-30,0.509304363000503,0.3968392591544816,-0.22720950046792493,-0.09197591880675851,-0.3624430821290914,0.0009910769585331307,0.7104632555177958,2020-02-10 00:00:00,2020-02-01 00:00:00,2020-01-24,7.2,5983800.0,18.0,4.36,1.85,8.5
JP,,,,,,,,,,,,,,,,,2020-01-21 00:00:00,2020-03-04 00:00:00,,,,,,,
KR,,,,,,,,,,,,,,,,,2020-02-04 00:00:00,2020-03-01 00:00:00,,,,,,,
IR,,,,,,,,,,,,,,,,,,,,,,,,,
IT,,,,,,,,,,,,,,,,,2020-02-12 00:00:00,2020-03-04 00:00:00,,,,,,,
diamond_princess,,,,,,,,,,,,,,,,,2020-02-28 00:00:00,2020-02-17 00:00:00,,,,,,,
china_ex_hubei,,,,,,,,,,,,,,,,,2020-02-19 00:00:00,2020-02-01 00:00:00,,,,,,,
Shenzhen,,,,,,,,,,,,,,,,,2020-02-19 00:00:00,2020-02-01 00:00:00,,,,,,,
Europe,,,,,,,,,,,,,,,,,2020-02-04 00:00:00,2020-03-04 00:00:00,,,,,,,
CentralEurope,,,,,,,,,,,,,,,,,2020-02-04 00:00:00,2020-03-04 00:00:00,,,,,,,
Wenzhou,,,,,,,,,,,,,,,,,2020-02-17 00:00:00,2020-01-28 00:00:00,,,,,,,
Guangzhou_ex_Shenzhen,,,,,,,,,,,,,,,,,2020-02-19 00:00:00,2020-02-01 00:00:00,,,,,,,
Zhejiang_ex_Wenzhou,,,,,,,,,,,,,,,,,2020-02-13 00:00:00,2020-01-30 00:00:00,,,,,,,
Xizang,,,,,,,,,,,,,,,,,,,2020-01-28,2.1,3371500.0,1.0,1.54,0.58,
Hubei,,,,,,,,,,,,,,,,,,,,325.0,59020000.0,67666.0,,,
